year,playerName,position,batting_order,school
2022,Anglim, Garrett,RF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Banjoff, Leighton,LF,5,Nebraska
2022,Matthews, Brice,SS,6,Nebraska
2022,Cervantes, Efry,2B/SS,7,Nebraska
2022,Steil, Jack,1B,8,Nebraska
2022,Sartori, Luke,CF,9,Nebraska
2022,Olson, Emmett,P,SP,Nebraska
2022,Johnson, Dom,LF,1,Kansas St.
2022,Rugely, Cash,DH,2,Kansas St.
2022,Mitchell, Justin,C,3,Kansas St.
2022,Phillips, Dylan,RF,4,Kansas St.
2022,Goodwin, Nick,SS,5,Kansas St.
2022,Nicoloff, Josh,2B,6,Kansas St.
2022,Johnson, Cole,CF,7,Kansas St.
2022,Salinas Jr., Orlando,1B,8,Kansas St.
2022,Culpepper, Kaelen,3B,9,Kansas St.
2022,Hassall, Griffin,P,SP,Kansas St.
2022,Anglim, Garrett,CF/LF,1,Nebraska
2022,Jessen, Luke,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Caron, Josh,DH,5,Nebraska
2022,Jackson, Core,SS,6,Nebraska
2022,Matthews, Brice,2B,7,Nebraska
2022,Gomes, Colby,1B,8,Nebraska
2022,Banjoff, Leighton,RF,9,Nebraska
2022,Frank, Koty,P,SP,Nebraska
2022,Denk, Harrison,LF,1,Omaha
2022,Hanafan, Will,CF,2,Omaha
2022,Boeve, Mike,3B,3,Omaha
2022,Greise, Noah,DH,4,Omaha
2022,Satisky, Eddie,1B,5,Omaha
2022,Goldston, Grant,RF,6,Omaha
2022,Hurdle, Devin,SS,7,Omaha
2022,Rosario, Eduardo,C,8,Omaha
2022,Lombardi, Jack,2B,9,Omaha
2022,Bell, Charlie,P,SP,Omaha
2022,Denk, Harrison,LF,1,Omaha
2022,Hanafan, Will,CF,2,Omaha
2022,Boeve, Mike,3B,3,Omaha
2022,Greise, Noah,DH,4,Omaha
2022,Satisky, Eddie,1B,5,Omaha
2022,Goldston, Grant,RF,6,Omaha
2022,Hurdle, Devin,SS,7,Omaha
2022,Baughn, Matt,C,8,Omaha
2022,Lombardi, Jack,2B,9,Omaha
2022,Timmins, Mark,P,SP,Omaha
2022,Banjoff, Leighton,LF,1,Nebraska
2022,Jackson, Core,SS,2,Nebraska
2022,Anderson, Max,DH,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Matthews, Brice,2B,5,Nebraska
2022,Anglim, Garrett,RF,6,Nebraska
2022,Chick, Cam,CF,7,Nebraska
2022,Gomes, Colby,1B,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,Schanaman, Shay,P,SP,Nebraska
2022,Dieter, Brandon,SS,1,New Mexico St.
2022,Antillon, Gunner,3B,2,New Mexico St.
2022,Gallina, Logan,DH,3,New Mexico St.
2022,Godfrey, Preston,RF,4,New Mexico St.
2022,Funke, Nolan,1B,5,New Mexico St.
2022,Jimenez, Kevin,2B,6,New Mexico St.
2022,Villareal, Cal,LF,7,New Mexico St.
2022,Tabak, Tommy,CF,8,New Mexico St.
2022,Kilgore, Cal,C,9,New Mexico St.
2022,Blazek, Cam,P,SP,New Mexico St.
2022,Jessen, Luke,LF,1,Nebraska
2022,Jackson, Core,SS,2,Nebraska
2022,Anderson, Max,1B,3,Nebraska
2022,Everitt, Griffin,DH,4,Nebraska
2022,Matthews, Brice,2B,5,Nebraska
2022,Anglim, Garrett,RF,6,Nebraska
2022,Caron, Josh,C,7,Nebraska
2022,Chick, Cam,CF,8,Nebraska
2022,Cervantes, Efry,3B,9,Nebraska
2022,McCarville, Dawson,P,SP,Nebraska
2022,Dieter, Brandon,SS,1,New Mexico St.
2022,Antillon, Gunner,3B,2,New Mexico St.
2022,Gallina, Logan,1B,3,New Mexico St.
2022,Funke, Nolan,LF,4,New Mexico St.
2022,Jimenez, Kevin,2B,5,New Mexico St.
2022,Godfrey, Preston,RF,6,New Mexico St.
2022,Martinez-Pagani, Edwin,DH,7,New Mexico St.
2022,Grabosch, Ryan,C,8,New Mexico St.
2022,Tabak, Tommy,CF,9,New Mexico St.
2022,Maltrud, Rorik,P,SP,New Mexico St.
2022,Jessen, Luke,LF,1,Nebraska
2022,Jackson, Core,SS,2,Nebraska
2022,Anderson, Max,1B/3B,3,Nebraska
2022,Everitt, Griffin,DH,4,Nebraska
2022,Matthews, Brice,2B,5,Nebraska
2022,Anglim, Garrett,RF,6,Nebraska
2022,Caron, Josh,C,7,Nebraska
2022,Chick, Cam,CF,8,Nebraska
2022,Cervantes, Efry,3B/SS,9,Nebraska
2022,Christo, Drew,P,SP,Nebraska
2022,Rivera-Chijin, Steven,2B,1,A&M-Corpus Christi
2022,Ryan, Brendan,CF,2,A&M-Corpus Christi
2022,Caraway, Josh,LF,3,A&M-Corpus Christi
2022,Petkoff, Brandon,RF,4,A&M-Corpus Christi
2022,Mitchell, Wesley,DH,5,A&M-Corpus Christi
2022,Puls, Max,1B,6,A&M-Corpus Christi
2022,Taylor, Justin,C,7,A&M-Corpus Christi
2022,White, Nate,3B,8,A&M-Corpus Christi
2022,Linneweber, Tyler,SS,9,A&M-Corpus Christi
2022,Miller, Tyler,P,SP,A&M-Corpus Christi
2022,Jessen, Luke,RF,1,Nebraska
2022,Anderson, Max,3B,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Matthews, Brice,2B,4,Nebraska
2022,Anglim, Garrett,LF/RF,5,Nebraska
2022,Caron, Josh,DH,6,Nebraska
2022,Chick, Cam,CF,7,Nebraska
2022,Steil, Jack,1B,8,Nebraska
2022,Cervantes, Efry,SS,9,Nebraska
2022,Perry, Kyle,P,SP,Nebraska
2022,Rivera-Chijin, Steven,2B,1,A&M-Corpus Christi
2022,Caraway, Josh,LF,2,A&M-Corpus Christi
2022,Ryan, Brendan,CF,3,A&M-Corpus Christi
2022,Mitchell, Wesley,RF,4,A&M-Corpus Christi
2022,Puls, Max,1B,5,A&M-Corpus Christi
2022,White, Nate,3B,6,A&M-Corpus Christi
2022,Jones, Tre,DH,7,A&M-Corpus Christi
2022,Taylor, Justin,C,8,A&M-Corpus Christi
2022,Linneweber, Tyler,SS,9,A&M-Corpus Christi
2022,Thomas, Hayden,P,SP,A&M-Corpus Christi
2022,Anderson, Max,3B,1,Nebraska
2022,Jackson, Core,DH,2,Nebraska
2022,Everitt, Griffin,C,3,Nebraska
2022,Matthews, Brice,2B/SS,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Gomes, Colby,1B,6,Nebraska
2022,Chick, Cam,CF/2B,7,Nebraska
2022,Cervantes, Efry,SS,8,Nebraska
2022,Banjoff, Leighton,LF,9,Nebraska
2022,Schanaman, Shay,P,SP,Nebraska
2022,Rivera-Chijin, Steven,2B,1,A&M-Corpus Christi
2022,Caraway, Josh,LF,2,A&M-Corpus Christi
2022,Ryan, Brendan,CF,3,A&M-Corpus Christi
2022,Mitchell, Wesley,RF,4,A&M-Corpus Christi
2022,Puls, Max,1B,5,A&M-Corpus Christi
2022,White, Nate,3B,6,A&M-Corpus Christi
2022,Jones, Tre,DH,7,A&M-Corpus Christi
2022,Taylor, Justin,C,8,A&M-Corpus Christi
2022,Linneweber, Tyler,SS,9,A&M-Corpus Christi
2022,Perez, Leo,P,SP,A&M-Corpus Christi
2022,Anderson, Max,1B,1,Nebraska
2022,Jackson, Core,2B/SS,2,Nebraska
2022,Everitt, Griffin,DH,3,Nebraska
2022,Anglim, Garrett,RF,4,Nebraska
2022,Matthews, Brice,3B,5,Nebraska
2022,Swansen, Gabe,LF,6,Nebraska
2022,Chick, Cam,CF/LF,7,Nebraska
2022,Caron, Josh,C,8,Nebraska
2022,Cervantes, Efry,SS/3B,9,Nebraska
2022,McCarville, Dawson,P,SP,Nebraska
